flight_number,date_depart,depart_iata,depart_ville,arrivee_iata,arrivee_ville,statut,temp_max_depart,temp_min_depart,precipitation_depart,vent_depart,temp_max_arrivee,temp_min_arrivee,precipitation_arrivee,vent_arrivee
AT5606,2026-09-04,CDG,Paris,KUL,Kuala Lumpur,active,25.5,18.8,0,21.3,35.1,23.8,2,12.6
AT664,2026-09-04,AGA,Agadir,ORY,Paris,scheduled,29,21.7,0,19.7,26.4,18.4,0,21.1
AT5744,2026-09-04,ADL,Adelaide,DOH,Doha,scheduled,20.2,11.5,5.5,19.3,39.7,29.7,0,16.9
AT5440,2026-09-04,MAD,Madrid,VLC,Valencia,scheduled,38.7,17.6,0,9.2,33.8,20.4,0,17
AT5420,2026-09-04,MAD,Madrid,TFN,Tenerife Island,scheduled,38.7,17.6,0,9.2,26.6,17.3,0,12.1
AT9080,2026-09-04,GRU,Sao Paulo,SSA,Salvador,scheduled,28,15.6,3,15.4,28.4,23.1,1.2,17.8
AT5167,2026-09-04,SFO,San Francisco,LAX,Los Angeles,scheduled,20.5,12.2,0,20,25,15.5,0,16
AT5443,2026-09-04,MAD,Madrid,SDR,Santander,scheduled,38.7,17.6,0,9.2,27.3,17.6,0,11.8
AT9078,2026-09-04,GRU,Sao Paulo,REC,Recife,scheduled,28,15.6,3,15.4,27.9,24.3,1.1,19.5
AT9455,2026-09-04,IST,Arnavutkoy,RAK,Marrakech,scheduled,25.6,20.4,0,16.8,39.7,26.3,0,15.3
AT5741,2026-09-04,PER,Perth,DOH,Doha,scheduled,18.3,12.8,1.6,18.3,39.7,29.7,0,16.9
AT5165,2026-09-04,PHX,Phoenix,LAX,Los Angeles,scheduled,37.5,28.8,2.2,41.7,25,15.5,0,16
AT616,2026-09-04,OUD,Oujda,ORY,Paris,scheduled,35,21.9,0,17.5,26.4,18.4,0,21.1
AT5824,2026-09-04,NJF,Najaf,DOH,Doha,scheduled,43.7,30.7,0,20.7,39.7,29.7,0,16.9
AT690,2026-09-04,NDR,Nador,BRU,Brussels,scheduled,30.8,22.8,0,16.3,21.9,17.8,0.8,31.3
AT5752,2026-09-04,NBO,Nairobi,DOH,Doha,scheduled,29.4,13.3,2.3,17.8,39.7,29.7,0,16.9
AT9076,2026-09-04,GRU,Sao Paulo,NAT,Sao Goncalo Do Amarante,scheduled,28,15.6,3,15.4,29.6,23.6,0.4,21.9
AT5038,2026-09-04,LAX,Los Angeles,JFK,New York,scheduled,25,15.5,0,16,30.1,20.5,5.4,21.1
AT5168,2026-09-04,LAS,Las Vegas,LAX,Los Angeles,scheduled,36.3,22.8,0,28,25,15.5,0,16
AT5113,2026-09-04,JAX,Jacksonville,MIA,Miami,scheduled,31.1,23.8,44.6,28,28.1,24.6,93.7,30.1
